FID,Field1,lon,lat
522,2089,-72.790000000000006,-42.320000000000000
523,2857,-72.799999999999997,-41.939999999999998
524,2512,-72.810000000000002,-42.689999999999998
525,1163,-72.810000000000002,-36.100000000000001
526,2216,-72.819999999999993,-45.460000000000001
527,3218,-72.819999999999993,-45.439999999999998
528,1823,-72.819999999999993,-42.850000000000001
529,2342,-72.819999999999993,-42.430000000000000
530,2088,-72.819999999999993,-42.340000000000003
531,1537,-72.819999999999993,-41.640000000000001
532,3215,-72.829999999999998,-42.829999999999998
533,2621,-72.829999999999998,-42.329999999999998
534,2264,-72.829999999999998,-42.250000000000000
535,2086,-72.840000000000003,-42.859999999999999
536,2511,-72.840000000000003,-42.740000000000002
537,2619,-72.840000000000003,-42.439999999999998
538,2427,-72.840000000000003,-42.200000000000003
539,1838,-72.840000000000003,-41.630000000000003
540,1253,-72.840000000000003,-41.500000000000000
541,2674,-72.849999999999994,-42.869999999999997
542,2208,-72.849999999999994,-42.840000000000003
543,2062,-72.849999999999994,-42.380000000000003
544,2858,-72.849999999999994,-41.899999999999999
545,2917,-72.859999999999999,-44.409999999999997
546,2521,-72.859999999999999,-42.299999999999997
547,2672,-72.859999999999999,-41.509999999999998
548,1707,-72.859999999999999,-41.500000000000000
549,1178,-72.870000000000005,-42.890000000000001
550,2618,-72.870000000000005,-42.770000000000003
551,2087,-72.870000000000005,-42.420000000000002
552,2209,-72.870000000000005,-42.090000000000003
553,2091,-72.870000000000005,-41.840000000000003
554,2115,-72.870000000000005,-41.829999999999998
555,2092,-72.870000000000005,-41.770000000000003
556,1824,-72.879999999999995,-42.700000000000003
557,2620,-72.879999999999995,-42.170000000000002
558,2080,-72.879999999999995,-41.570000000000000
559,2617,-72.890000000000001,-42.609999999999999
560,1680,-72.890000000000001,-41.880000000000003
561,2308,-72.890000000000001,-41.500000000000000
562,2654,-72.890000000000001,-41.490000000000002
563,2717,-72.900000000000006,-42.600000000000001
564,2622,-72.900000000000006,-41.990000000000002
565,3330,-72.900000000000006,-41.600000000000001
566,1709,-72.900000000000006,-41.490000000000002
567,2279,-72.909999999999997,-44.810000000000002
568,2090,-72.909999999999997,-42.079999999999998
569,3290,-72.909999999999997,-41.789999999999999
570,2108,-72.909999999999997,-41.770000000000003
571,2178,-72.909999999999997,-41.700000000000003
572,3069,-72.909999999999997,-41.490000000000002
573,1646,-72.920000000000002,-43.609999999999999
574,2516,-72.920000000000002,-41.530000000000001
575,1744,-72.930000000000007,-44.789999999999999
576,2396,-72.930000000000007,-43.789999999999999
577,1175,-72.930000000000007,-42.630000000000003
578,1214,-72.930000000000007,-41.549999999999997
579,3283,-72.930000000000007,-41.520000000000003
580,3237,-72.930000000000007,-41.490000000000002
581,3096,-72.930000000000007,-41.469999999999999
582,2514,-72.939999999999998,-42.640000000000001
583,2515,-72.939999999999998,-42.630000000000003
584,2950,-72.939999999999998,-41.479999999999997
585,2052,-72.939999999999998,-41.469999999999999
586,1922,-72.950000000000003,-51.890000000000001
587,2395,-72.950000000000003,-43.780000000000001
588,2910,-72.950000000000003,-43.770000000000003
589,1352,-72.950000000000003,-43.759999999999998
590,2181,-72.950000000000003,-41.700000000000003
591,2566,-72.950000000000003,-41.479999999999997
592,3007,-72.959999999999994,-43.759999999999998
593,2975,-72.959999999999994,-41.490000000000002
594,2553,-72.969999999999999,-53.380000000000003
595,1915,-72.969999999999999,-52.049999999999997
596,1837,-72.969999999999999,-41.869999999999997
597,2180,-72.969999999999999,-41.729999999999997
598,1793,-72.969999999999999,-41.500000000000000
599,2807,-72.980000000000004,-54.469999999999999
600,1647,-72.980000000000004,-43.780000000000001
601,2182,-72.980000000000004,-41.649999999999999
602,2915,-72.989999999999995,-43.649999999999999
603,3017,-72.989999999999995,-41.570000000000000
604,2074,-73.000000000000000,-41.539999999999999
605,2914,-73.010000000000005,-43.649999999999999
606,2176,-73.010000000000005,-41.539999999999999
